label;cp;busses;bus_param;bus_P_ref;bus_char;bus_base;design;offdesign;design_path;local_design;local_offdesign;Q;Q_set;Q_var;pr;pr_set;pr_var;zeta;zeta_set;zeta_var;D;D_set;D_var;L;L_set;L_var;ks;ks_set;ks_var;kA;kA_set;kA_var;kA_char;kA_char_set;kA_char_param;Tamb;Tamb_set;SQ1;SQ1_set;SQ2;SQ2_set;Sirr;Sirr_set;hydro_group;kA_group;kA_char_group
pipe24_back;pipe;['network losses'];[None];[-363.5554231005267];['0x0000020135375390'];['component'];[];[];nan;False;False;-363.5554231005267;False;False;0.9978968332302235;False;False;335851236.1176291;False;False;0.0217;True;False;25.942243542145693;True;False;0.00069;True;False;6.692425261877428;True;False;0x00000201353B2CF8;False;m;0;True;-1.1099456933138547;False;1.3309735423779123;False;0.2210278490640576;False;default;default;default
pipe26_back;pipe;['network losses'];[None];[-362.78361027916935];['0x0000020135375390'];['component'];[];[];nan;False;False;-362.78361027916935;False;False;0.9992714351985451;False;False;157979380.17496434;False;False;0.0217;True;False;12.083045973594572;True;False;0.00069;True;False;6.692425261877899;True;False;0x00000201353B2D30;False;m;0;True;-1.1081385144142442;False;1.3281479417139643;False;0.22000942729972017;False;default;default;default
pipe28_back;pipe;['network losses'];[None];[-343.3280020738729];['0x0000020135375390'];['component'];[];[];nan;False;False;-343.3280020738729;False;False;0.9950592039763761;False;False;746668623.3791219;False;False;0.0217;True;False;105.77334257741882;True;False;5e-05;True;False;6.314757900000606;True;False;0x00000201353B2DD8;False;m;0;True;-1.0477330649066028;False;1.2569211132120552;False;0.20918804830545246;False;default;default;default
pipe30_back;pipe;['network losses'];[None];[-361.73836064336734];['0x0000020135375390'];['component'];[];[];nan;False;False;-361.73836064336734;False;False;0.9994263885710132;False;False;174228162.90823013;False;False;0.0217;True;False;13.152946437965905;True;False;0.00069;True;False;6.69242526187831;True;False;0x00000201353B2E10;False;m;0;True;-1.1054924887736741;False;1.3243212910245923;False;0.21882880225091816;False;default;default;default
pipe32_back;pipe;['network losses'];[None];[-347.8184091094978];['0x0000020135375390'];['component'];[];[];nan;False;False;-347.8184091094978;False;False;0.9998594628041254;False;False;94402541.64634223;False;False;0.0217;True;False;11.045361017187261;True;False;0.00029;True;False;6.4847739887171025;True;False;0x00000201353B2EF0;False;m;0;True;-1.0643227701472855;False;1.2733604580248867;False;0.20903768787760124;False;default;default;default
pipe34_back;pipe;['network losses'];[None];[-381.74345759410096];['0x0000020135375390'];['component'];[];[];nan;False;False;-381.74345759410096;False;False;0.9999770236356381;False;False;3156792.2728431723;False;False;0.036;True;False;5.0;True;False;0.00029;True;False;7.026988805198406;True;False;0x00000201353B2F28;False;m;0;True;-1.1657059150717826;False;1.3975597934984476;False;0.23185387842666505;False;default;default;default
pipe36_back;pipe;['network losses'];[None];[-350.8747289809576];['0x0000020135375390'];['component'];[];[];nan;False;False;-350.8747289809576;False;False;0.9984595549164438;False;False;426906582.04144424;False;False;0.0217;True;False;41.43669871020132;True;False;0.00029;True;False;6.484773988717646;True;False;0x00000201353B2F98;False;m;0;True;-1.0720391384289174;False;1.2845496210176008;False;0.21251048258868344;False;default;default;default
pipe38_back;pipe;['network losses'];[None];[-343.06464977564957];['0x0000020135375390'];['component'];[];[];nan;False;False;-343.06464977564957;False;False;0.9998066057943611;False;False;117992807.78964403;False;False;0.0217;True;False;13.92838827718412;True;False;8.999999999999999e-05;True;False;6.3884443479192425;True;False;0x00000201353B2FD0;False;m;0;True;-1.0495687223047083;False;1.2559569825211407;False;0.20638826021643242;False;default;default;default
pipe40_back;pipe;['network losses'];[None];[-349.46794795310717];['0x0000020135375390'];['component'];[];[];nan;False;False;-349.46794795310717;False;False;0.9947744101376641;False;False;161507058.10140505;False;False;0.0217;True;False;22.825424421026653;True;False;8.999999999999999e-05;True;False;6.388444347918661;True;False;0x0000020136372080;False;m;0;True;-1.0647786165491793;False;1.2793994067476009;False;0.21462079019842162;False;default;default;default
pipe42_back;pipe;['network losses'];[None];[-347.677320205307];['0x0000020135375390'];['component'];[];[];nan;False;False;-347.677320205307;False;False;0.9995792835643225;False;False;49616704.40310991;False;False;0.0217;True;False;7.211102550927978;True;False;8.999999999999999e-05;True;False;6.388444347919921;True;False;0x00000201363720F0;False;m;0;True;-1.0613208862479409;False;1.2728439326571739;False;0.21152304640923303;False;default;default;default
